disaster_id,location_id,geoname_id,precision_code,place_name,latitude,longitude,location_type_code,geoname_adm_code,geoname_adm_name,location_class,geographic_exactness
1985-124,1985-124_1729926,1729926,3,Province of Aurora,16,121.75,ADM2,6295630|6255147|PH|03|1729926,Earth|Asia|Philippines|Central Luzon|Province of Aurora,1,1
1985-124,1985-124_1682811,1682811,3,Province of Tarlac,15.5,120.5,ADM2,6295630|6255147|PH|03|1682811,Earth|Asia|Philippines|Central Luzon|Province of Tarlac,1,1
1985-124,1985-124_1723064,1723064,3,Province of Bulacan,15,121.08333,ADM2,6295630|6255147|PH|03|1723064,Earth|Asia|Philippines|Central Luzon|Province of Bulacan,1,1
1985-117,1985-117_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1986-155,1986-155_1715342,1715342,3,Province of Davao Oriental,7.16667,126.33333,ADM2,6295630|6255147|PH|11|1715342,Earth|Asia|Philippines|Davao|Province of Davao Oriental,1,1
1986-153,1986-153_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1986-152,1986-152_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1986-151,1986-151_1694008,1694008,6,Philippines,13,122,PCLI,6295630|6255147|PH,Earth|Asia|Philippines,1,1
1986-122,1986-122_1699077,1699077,1,Muntinglupa,14.38333,121.05,ADM3,6295630|6255147|PH|NCR|1699077,Earth|Asia|Philippines|National Capital Region|Muntinglupa,1,1
1986-122,1986-122_7521311,7521311,4,National Capital Region,14.57775,121.04599,ADM1,6295630|6255147|PH|NCR,Earth|Asia|Philippines|National Capital Region,1,1
1986-122,1986-122_1723064,1723064,3,Province of Bulacan,15,121.08333,ADM2,6295630|6255147|PH|03|1723064,Earth|Asia|Philippines|Central Luzon|Province of Bulacan,1,1
1986-104,1986-104_1723064,1723064,3,Province of Bulacan,15,121.08333,ADM2,6295630|6255147|PH|03|1723064,Earth|Asia|Philippines|Central Luzon|Province of Bulacan,1,1
1986-104,1986-104_1695357,1695357,3,Province of Pangasinan,15.91667,120.33333,ADM2,6295630|6255147|PH|01|1695357,Earth|Asia|Philippines|Ilocos|Province of Pangasinan,1,1
1986-104,1986-104_1679435,1679435,3,Province of Zambales,15.33333,120.16667,ADM2,6295630|6255147|PH|03|1679435,Earth|Asia|Philippines|Central Luzon|Province of Zambales,1,1
1986-104,1986-104_7521311,7521311,4,National Capital Region,14.57775,121.04599,ADM1,6295630|6255147|PH|NCR,Earth|Asia|Philippines|National Capital Region,1,1
1986-104,1986-104_1732380,1732380,3,Province of Abra,17.58333,120.75,ADM2,6295630|6255147|PH|15|1732380,Earth|Asia|Philippines|Cordillera|Province of Abra,1,1
1986-104,1986-104_1725582,1725582,3,Province of Benguet,16.5,120.66667,ADM2,6295630|6255147|PH|15|1725582,Earth|Asia|Philippines|Cordillera|Province of Benguet,1,1
1986-104,1986-104_1726347,1726347,3,Province of Bataan,14.66667,120.41667,ADM2,6295630|6255147|PH|03|1726347,Earth|Asia|Philippines|Central Luzon|Province of Bataan,1,1
