disaster_id,year,event_name,location,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,associated_disaster,associated_disaster2,country_name,country_iso3,start_isodate,end_isodate,no_killed,no_injured,no_affected,no_homeless,total_affected,total_dam_usd
1990-687,1990,Dot,,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1990-9-8,1990-9-8 ,0,0,0,0,0,0
1990-645,1990,,,Natural,Hydrological,Flood,,,,,Philippines,PHL,,,50,0,662500,0,662500,0
1990-625,1990,,Bicol,Natural,Biological,Epidemic,Viral Infectious Diseases,,,,Philippines,PHL,,,21,0,200,0,200,0
1990-616,1990,,Capital region Manila and Northern Luzon.,Natural,Hydrological,Flood,Storm surge/coastal flood,,Landslide / Mudslide,,Philippines,PHL,1990-8-25,1990-9-1 ,28,0,50000,0,50000,0
1990-401,1990,Abe,North,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1990-8-30,1990-8-30 ,85,0,0,0,0,0
1990-400,1990,Becky,,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1990-8-28,1990-8-28 ,85,0,0,0,0,0
1990-122,1990,Mike (Ruping),"Samar, Masbate provinces, Palwan, Iloilo, Negros occidental, Cebu",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1990-11-12,1990-11-16 ,503,1274,5048275,1110020,6159569,941018279.1
1990-40,1990,,"Cabanatuan, Baguio, Dagupon (Luzon Isl.)",Natural,Geophysical,Earthquake (seismic activity),Earthquake (ground shaking),,Landslide / Mudslide,,Philippines,PHL,1990-7-16,1990-7-16 ,2412,3513,1594040,0,1597553,895239011.46
1990-28,1990,,Cualasi area (Near Panay Isl.),Natural,Geophysical,Earthquake (seismic activity),Earthquake (ground shaking),,,,Philippines,PHL,1990-6-14,1990-6-14 ,4,15,0,0,15,0
1990-27,1990,,"Manukan, Bacungan, Zamboanga city (Zamboanga Del Norte province)",Natural,Hydrological,Flood,Flash flood,,,,Philippines,PHL,1990-6-17,1990-6-19 ,98,0,236,0,236,104153.89
1990-25,1990,Ofelia (Biring) & Percy,North and Eastern Luzon,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1990-6-22,1990-6-22 ,64,14,160000,0,160014,0
1990-9,1990,,"Bohol, Cebu, Cagayan De Oro, Camiguin, Cotabato, Mindanao",Natural,Geophysical,Earthquake (seismic activity),Earthquake (ground shaking),,,,Philippines,PHL,1990-2-8,1990-2-8 ,1,4,34500,0,34504,2179965.13
1991-708,1991,,Tangag (Surigao del Sur),Natural,Hydrological,Flood,Flash flood,,,,Philippines,PHL,,,10,0,0,823,823,3054397.17
1991-533,1991,,Luzon Isl.,Natural,Hydrological,Flood,Storm surge/coastal flood,,Landslide / Mudslide,,Philippines,PHL,1991-8-20,1991-8-24 ,50,0,0,0,0,0
1991-525,1991,Caitlin,"Concepcion, Floridablanca, Manila",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1991-7-26,1991-7-26 ,9,0,90296,0,90296,0
1991-521,1991,Amy,"Pampanga, Tarlac provinces",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1991-7-18,1991-7-18 ,4,0,0,2500,2500,0
1991-517,1991,Zeke (Etang),"Catanduanes, Albay, Quezon Provinces (Southern Luzon Isl.)",Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1991-7-10,1991-7-10 ,47,21,505756,0,505777,199710584.17
1991-383,1991,Thelma (Uring),"Bago, La Cariota, Bacalod (Negros) and Leyte",Natural,Meteorological,Storm,Tropical cyclone,,Flood,Landslide / Mudslide,Philippines,PHL,1991-11-5,1991-11-8 ,5956,3050,598454,45750,647254,234953628.43
1991-382,1991,Ruth (Trining),Luzon Isl.,Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1991-10-27,1991-10-27 ,65,38,300000,16000,316038,211458265.59
1991-379,1991,,Near Leyte (Samar Isl.),Natural,Hydrological,Flood,Storm surge/coastal flood,,,,Philippines,PHL,1991-11-11,1991-11-11 ,10,0,0,0,0,0
1991-174,1991,Brendan,Near Tuguegaro (Pinatubo region),Natural,Meteorological,Storm,Tropical cyclone,,,,Philippines,PHL,1991-7-22,1991-7-22 ,2,0,0,10000,10000,0
1991-132,1991,Mount Pinatubo,"Zambales, Pampanga, Olongapo, Tarlac (Luzon Isl.)",Natural,Geophysical,Volcano,Volcanic eruption,,Flood,Landslide / Mudslide,Philippines,PHL,1991-6-9,1991-6-22 ,640,195,1035870,0,1036065,495752155.99
